DP03113	927	937
DP03114	157	166
DP03114	197	212
DP03114	343	358
DP03114	619	686
DP03115	483	495
DP03121	59	89
DP03121	151	182
DP03124	361	567
DP03124	622	635
DP03130	196	211
DP03135	188	230
DP03141	226	269
DP03142	1	22
DP03142	201	212
DP03144	565	583
DP03147	232	251
DP03148	161	235
DP03150	1	30
DP03150	157	176
DP03150	275	290
DP03151	357	378
DP03159	1	32
DP03161	71	84
DP03162	1	21
DP03162	152	162
DP03164	160	173
DP03166	385	401
DP03168	138	249
DP03168	520	531
DP03168	1026	1045
DP03169	841	857
DP03171	1	15
DP03172	248	263
DP03180	521	548
DP03184	157	166
DP03185	1	13
DP03186	21	31
DP03187	1	13
DP03187	475	491
DP03187	536	576
DP03190	176	185
DP03192	36	53
DP03192	97	118
DP03199	21	30
DP03199	153	163
DP03201	416	442
DP03203	197	211
DP03206	47	57
DP03206	73	86
DP03206	446	456
DP03206	690	722
DP03209	111	122
DP03211	1	20
DP03216	1	32
DP03222	140	170
DP03229	23	35
DP03232	660	669
DP03233	219	228
DP03235	1	216
DP03238	1	20
DP03238	462	472
DP03243	571	604
DP03246	92	135
DP03246	430	471
DP03248	1023	1063
DP03249	1	19
DP03249	37	184
DP03254	558	578
DP03254	587	600
DP03255	209	220
DP03256	450	460
DP03260	72	86
DP03260	592	605
DP03271	150	161
DP03271	213	228
DP03272	88	129
DP03272	267	291
DP03274	763	774
DP03280	35	44
DP03280	653	672
DP03281	131	146
DP03291	22	60
DP03294	191	202
DP03294	206	229
DP03294	340	352
DP03295	649	677
DP03297	27	37
DP03298	179	192
DP03299	90	110
DP03299	187	211
DP03299	298	316
DP03300	114	144
DP03303	367	377
DP03311	47	93
DP03312	288	327
DP03314	27	37
DP03323	17	513
DP03324	350	361
DP03343	29	43
DP03343	185	198
DP03345	154	175
DP03348	81	106
DP03351	187	196
DP03358	94	106
DP03358	301	313
DP03366	354	367
DP03369	1	372
DP03379	1507	1522
DP03379	1582	1623
DP03379	1709	1721
DP03380	279	289
DP03382	250	277
DP03383	1	85
DP03383	442	457
DP03383	843	853
DP03383	1053	1258
DP03385	1	92
DP03385	599	621
DP03389	19	38
DP03389	94	140
DP03397	1	92
DP03399	1	145
DP03400	109	150
DP03400	200	250
DP03403	1	180
DP03404	1	112
DP03417	23	89
DP03424	190	420
DP03426	1	29
DP03426	326	350
DP03427	562	623
DP03427	779	792
DP03433	1	56
DP03433	83	137
DP03433	150	248
DP03433	492	545
DP03444	101	113
DP03446	2090	2107
DP03446	2261	2284
DP03447	1	76
DP03447	78	227
DP03447	390	403
DP03448	130	153
DP03448	729	760
DP03453	125	143
DP03455	160	184
DP03455	384	399
DP03456	95	123
DP03487	325	404
DP03497	1	23
DP03499	1080	1234
DP03499	1428	1437
DP03512	23	254
DP03514	47	387
DP03515	19	153
DP03529	1	299
DP03552	1	352
DP03553	1	18
DP03553	656	673
DP03554	1	13
DP03622	1	112
DP03622	178	191
DP03622	209	218
DP03626	1141	1176
DP03626	1292	1323
DP03628	1	16
DP03628	108	126
DP03628	270	287
DP03637	149	288
DP03637	300	400
DP03645	654	682
DP03650	683	693
DP03650	817	873
DP03650	1113	1122
DP03650	1243	1255
DP03650	1457	1476
DP03654	234	245
DP03660	662	672
DP03660	796	852
DP03660	1059	1068
DP03660	1189	1201
DP03660	1403	1430
DP03669	110	151
DP03671	1543	1552
DP03681	592	607
DP03687	1	21
DP03687	316	329
DP03690	343	371
DP03693	128	182
DP03697	192	203
DP03700	1	158
DP03703	174	247
DP03703	338	552
DP03704	1	108
DP03706	117	694
